399,471,2019
134,511,221
586,428,53
1502,1798,851
1482,671,220
634,1427,1302
342,1281,1441
1629,1830,903
921,17,688
660,639,1684
1943,1743,97
1448,1756,1503
1115,398,1568
1748,1773,1289
1448,1114,585
646,191,1715
1914,1914,677
1009,295,1476
97,97,1832
1502,1502,943
996,1335,615
1478,677,501
1511,1193,478
971,971,2001
875,500,1278
829,1013,716
1901,912,1837
746,1164,104
723,304,1591
1800,285,244
1958,170,1338
1169,1169,838
167,890,1866
809,809,1696
2000,1729,421
183,1025,1356
457,1105,1495
1825,1552,381
1631,152,13
1324,766,903
682,1849,915
893,897,5
989,1690,709
1921,1475,1290
298,1603,1836
59,1983,1368
495,1427,85
1599,714,167
1231,1231,928
1279,1097,516
1912,1629,655
500,228,921
652,1634,1155
143,1289,1923
1355,1910,991
1688,890,64
64,1329,1348
1018,68,650
599,599,1556
1814,1539,50
1184,1684,1466
1663,118,1944
458,458,89
988,1698,257
1686,957,345
1462,1022,459
836,350,991
1352,1314,1150
1795,663,249
1450,543,678
495,495,1841
1482,126,1228
897,501,2033
746,1086,1223
785,1568,1113
1588,1297,1653
1231,745,1861
979,1169,1594
1826,1686,194
268,54,1733
354,1477,503
761,344,1470
1442,2038,353
272,136,497
178,929,2011
1849,1742,214
1759,62,1367
54,495,474
1099,951,1476
686,1800,132
411,715,1571
1671,1185,97
906,1973,1172
1825,1437,821
744,744,1772
962,1786,1397
778,778,419
917,1060,330
596,1414,580
1778,654,769
1976,1699,1300
1557,1083,83
1911,1921,869
1750,1203,162
712,68,1828
1985,13,1866
421,1374,726
607,1859,419
481,574,1821
569,205,956
414,2046,1918
1045,1491,1197
1334,2015,1255
682,795,733
865,1565,1237
1847,794,1649
1918,1273,1720
1022,299,143
762,1849,540
338,731,207
1323,1427,1124
1661,1661,1332
921,1231,817
794,191,1725
1306,71,1630
1356,108,1943
929,929,1514
1771,261,1861
641,1955,943
591,1362,1945
1653,1428,938
1082,1772,501
692,1328,658
434,1802,1072
1688,1161,2029
501,1006,684
1457,539,1966
1398,274,1657
615,615,1900
1850,1045,534
1655,1800,1432
615,285,524
199,1872,1794
1766,1766,981
1484,2027,1499
1296,869,1876
106,672,1413
170,170,348
649,229,426
1017,97,1611
81,81,604
2023,1200,1443
1231,1998,641
344,2038,524
336,832,495
893,745,1151
1106,1362,1156
1135,636,1707
1835,1368,913
307,570,1556
1047,633,329
1605,1475,656
856,511,1736
1006,674,1997
1502,1502,1433
1127,399,843
607,1045,1065
1771,253,640
1590,469,1048
1393,726,411
1433,843,1199
1865,971,1255
1282,1830,107
213,793,434
604,1460,270
68,343,1351
642,561,1422
1171,1602,1256
1656,40,1944
1634,1661,1943
1832,898,1650
269,617,1393
763,1997,1058
1366,925,1761
616,1425,565
488,371,1174
338,645,1418
444,778,1011
1965,154,739
893,989,1819
973,934,575
1638,736,1906
1865,1532,1020
1231,1241,964
37,444,1248
1030,239,661
1169,1796,182
846,652,829
543,826,1720
969,956,507
332,332,319
1114,1114,205
901,2047,1433
989,893,1562
854,1198,1682
458,1231,1917
1963,457,84
325,1192,278
631,268,1574
1766,1141,880
600,1106,1231
167,1958,1274
537,713,530
208,1679,632
1712,421,1571
1279,300,1904
223,1508,1609
232,1596,1618
1216,1077,1051
187,1882,719
1656,1656,174
799,1494,1138
404,1643,866
2029,77,1740
1877,289,75
1318,533,674
2038,957,1430
1056,857,1751
990,843,1544
1702,491,1905
195,1505,993
1690,1856,2041
1597,499,1105
761,1231,868
1114,1602,1198
1477,1846,509
342,957,284
1024,1424,2016
40,1281,606
1230,744,1504
1755,1826,1734
476,1294,558
842,1045,515
1498,804,692
723,723,1229
945,404,1308
1135,1135,611
1039,1473,1177
680,1782,592
1912,13,1243
1240,1154,1951
348,348,439
501,1279,506
858,1547,785
875,1446,1811
1326,1490,749
1957,455,1738
1584,1668,1353
341,1254,1596
2047,102,1733
1796,1796,1316
1141,1764,186
421,1764,1354
539,800,700
550,1442,488
1120,1578,1961
421,436,164
1231,1448,968
885,705,762
501,1603,699
1022,1524,1074
899,899,83
893,890,351
1028,1241,1003
1946,1946,1102
1362,1493,423
501,436,1483
351,907,1787
615,495,981
1780,441,990
287,2046,255
1306,1306,1960
636,1356,637
474,1714,1783
34,1231,1470
354,151,210
1013,604,223
298,1074,1118
213,643,866
1856,165,611
1137,1795,740
1345,1533,1490
649,1931,1834
893,399,55
1215,1215,913
762,2008,1063
321,1323,557
1958,495,1596
399,1508,421
1056,1044,723
1289,1289,1112
1021,807,664
857,784,307
97,1911,1269
168,643,334
1448,17,908
1766,1552,1841
2046,34,1775
1658,254,748
1328,20,41
494,1572,805
477,60,1970
2022,2022,704
379,527,881
794,683,1534
1724,901,1611
363,669,1438
72,641,1452
1427,1427,1399
1628,1590,523
1410,1878,390
1907,1448,794
97,1686,477
1190,616,1756
669,122,138
1512,664,12
889,1226,1616
1850,611,245
1489,205,1223
1824,1277,1902
1561,1186,683
257,189,460
71,52,893
2046,1313,664
316,692,585
1083,476,1533
1940,915,294
1169,929,1826
421,1443,1082
1225,85,1368
858,1547,1071
118,1021,691
1686,1695,359
218,1528,693
1046,1524,2006
187,701,1043
1358,1717,869
1952,637,564
1562,1911,1660
343,898,717
989,1122,464
943,1776,495
168,704,546
852,1675,1255
347,1457,1427
72,72,1472
1982,249,363
1993,586,257
1704,665,380
1267,1437,897
658,658,1785
2013,778,81
1508,892,182
54,54,1975
44,1573,1261
1247,62,1389
42,42,1015
1395,1690,835
1285,715,1606
1045,1800,584
591,1457,884
1436,2045,1288
1884,421,1912
534,957,927
1516,833,1034
1612,708,1949
239,921,2026
994,1806,374
1115,959,1671
1191,1151,1158
1175,1932,532
1146,1985,1979
1451,1451,2019
738,1358,939
2019,1105,1473
307,269,1546
382,1601,515
1910,817,183
921,414,543
1552,1552,732
600,1479,1267
1186,785,1483
616,616,51
1381,1731,776
1921,1231,1635
825,1708,232
498,896,224
1724,1548,623
905,1772,780
1306,1583,1949
1731,1106,1014
191,1675,729
1427,118,539
979,600,2035
30,1125,574
1755,287,1197
1048,369,1311
1735,164,326
1225,1190,158
263,1964,177
77,487,1453
544,812,967
609,2013,944
118,1231,973
927,1833,432
1731,1565,1165
1042,1306,1779
727,358,758
988,1230,1761
476,1365,1596
795,795,2029
1688,269,1215
2038,591,962
925,303,314
897,897,432
2045,1097,1102
1472,1129,1437
858,353,765
678,1764,1067
1045,1825,1759
893,45,1272
1601,344,533
1220,1437,1045
1502,1502,622
1292,1137,1193
13,347,151
1502,1769,1253
300,918,1733
921,544,1651
1883,575,1471
465,2026,1378
191,2048,123
269,915,1722
1607,165,1869
1120,846,484
1475,1475,614
1426,23,1704
1105,1041,1812
1076,951,1643
1695,1231,1976
713,1099,474
1344,1344,848
1572,3,1733
1357,812,1354
1320,312,1104
1503,534,398
169,339,1380
1099,1138,855
919,919,1474
530,1688,901
544,367,248
46,811,1075
2018,841,115
1253,1749,72
566,1344,258
374,476,983
399,399,1055
52,69,947
1935,1676,1498
1958,1154,1867
1285,1285,1692
979,1406,1850
713,196,278
1700,335,703
1664,1832,1419
962,2038,502
1634,1993,1391
1849,929,482
108,211,772
1651,754,628
2018,745,639
235,1453,510
46,71,631
1845,1845,469
224,1921,1679
1202,304,1564
339,1826,1347
1355,1025,930
1709,465,71
298,1251,1910
328,1897,1360
1771,1771,1535
1642,1028,1474
75,75,270
1717,38,1066
1003,592,1628
191,123,482
680,307,627
1294,746,581
617,1424,1508
340,340,1139
890,1317,1772
1630,1893,776
1997,1387,756
1302,897,220
1623,1210,1033
1883,1925,1471
1092,865,1664
518,312,453
